Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254601		0.340538		0.34111		0.339992		0.234601		0.228809		0.240549		0.754445
254602		0.333047		0.333066		0.333029		0.323858		0.323346		0.32437		0.979717
254603		0.355703		0.356819		0.35458		0.11403		0.105921		0.122793		0.403491
254605		0.355447		0.356449		0.354426		0.0897504		0.0813346		0.0990594		0.331231
254606		0.334097		0.334151		0.334043		0.292948		0.290105		0.295808		0.907521
254607		0.33292		0.332933		0.332908		0.32541		0.32496		0.325861		0.983437
254608		0.354189		0.355516		0.353188		0.119443		0.111793		0.127793		0.421547
254611		0.378211		0.381028		0.375925		0.297112		0.295145		0.299777		0.823893
254612		0.388183		0.390465		0.385643		0.161608		0.155805		0.167908		0.481550
254613		0.350398		0.35175		0.349058		0.118621		0.109643		0.128382		0.425067
254617		0.349709		0.35042		0.349002		0.124738		0.116595		0.133449		0.443964
254621		0.341795		0.342411		0.341183		0.181147		0.173227		0.189391		0.614659
254623		0.391508		0.393644		0.388915		0.135269		0.12925		0.141773		0.408559
254625		0.336721		0.33681		0.336632		0.259197		0.254304		0.264153		0.822450
254627		0.34075		0.34125		0.340252		0.170131		0.161654		0.17899		0.586971
254628		0.341571		0.34174		0.341401		0.225772		0.218		0.233758		0.730347
254629		0.344191		0.344374		0.344007		0.173615		0.165842		0.181683		0.589941
254630		0.353186		0.35435		0.352015		0.23899		0.234455		0.243669		0.739269
254635		0.339916		0.340262		0.33957		0.149781		0.141659		0.158287		0.532181
254637		0.362706		0.364489		0.360858		0.202766		0.196599		0.209275		0.630839
254641		0.337465		0.337552		0.337377		0.253232		0.248687		0.257835		0.806486
254643		0.355455		0.35646		0.354216		0.107704		0.0984925		0.117828		0.385286
254645		0.341285		0.341806		0.340672		0.312636		0.311398		0.313811		0.936688
254646		0.341248		0.342051		0.340494		0.294151		0.291964		0.296404		0.894795
254648		0.336016		0.33609		0.335942		0.266541		0.262493		0.270631		0.841522
