Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254603		0.370841		0.372075		0.36952		1.20587e-05		6.36609e-06		2.32305e-05
254605		0.361249		0.362345		0.360081		0.00295956		0.00213929		0.00410569
254607		0.353808		0.35467		0.352895		0.0550539		0.0490709		0.0617959
254608		0.369708		0.371155		0.368156		1.9754e-05		1.01879e-05		3.91172e-05
254609		0.336173		0.336288		0.33606		0.204443		0.197837		0.211209
254612		0.357862		0.358959		0.356662		0.0168844		0.0134898		0.0211468
254614		0.33444		0.334511		0.334369		0.252848		0.248423		0.257325
254615		0.33548		0.335559		0.3354		0.244039		0.239203		0.248941
254617		0.354876		0.355857		0.353685		0.0443963		0.0386245		0.0510521
254619		0.336316		0.336396		0.336236		0.237305		0.232283		0.242402
254620		0.354045		0.354609		0.351738		0.283855		0.280135		0.286668
254622		0.333091		0.333262		0.332923		0.289525		0.2867		0.292374
254623		0.359949		0.361027		0.358617		0.00118331		0.000786546		0.00178897
254625		0.356784		0.357724		0.355804		0.00274165		0.00192238		0.00392133
254629		0.338024		0.338334		0.33773		0.215361		0.20782		0.223126
254630		0.349037		0.350057		0.347337		0.265967		0.262689		0.268754
254631		0.363637		0.366252		0.361052		0.276974		0.274675		0.279403
254634		0.35845		0.360266		0.356679		0.227775		0.223377		0.232428
254637		0.352084		0.35284		0.351308		0.0180384		0.0145561		0.0223527
254643		0.352702		0.353652		0.351638		0.0303802		0.0249966		0.036936
254644		0.342728		0.34352		0.341951		0.270101		0.266799		0.273463
254645		0.357598		0.358753		0.356436		0.045653		0.0395546		0.0527301
254646		0.356213		0.35708		0.355329		0.0100381		0.00761377		0.0132584
254647		0.335392		0.335507		0.335278		0.248784		0.243929		0.253706
254650		0.370069		0.371057		0.368972		0.00371051		0.00278106		0.00497249
254652		0.357994		0.357898		0.355876		0.296087		0.292531		0.298382
254654		0.379128		0.381734		0.376331		0.0610629		0.0561514		0.0667035
254655		0.357006		0.358191		0.355791		0.127651		0.119806		0.136104
254656		0.350907		0.351529		0.349004		0.272938		0.2699		0.275361
254660		0.365499		0.366721		0.36416		0.0141971		0.0112846		0.0179219
254661		0.370995		0.372324		0.369671		1.34163e-07		5.44617e-08		3.39438e-07
254662		0.37086		0.372076		0.36947		4.9012e-06		2.35214e-06		1.0425e-05
254663		0.364799		0.366053		0.363618		0.000270148		0.000167178		0.0004413
254665		0.370282		0.371688		0.368837		1.31521e-07		5.09784e-08		3.53258e-07
254666		0.36602		0.36705		0.364859		1.6165e-05		8.51065e-06		3.1259e-05
254667		0.360446		0.361411		0.359333		0.000330837		0.000207158		0.000531184
254669		0.3632		0.364461		0.361903		1.13071e-05		5.35628e-06		2.42012e-05
254670		0.377673		0.37889		0.37625		7.54717e-07		3.41961e-07		1.7206e-06
254671		0.364685		0.365836		0.36344		5.85267e-05		3.27055e-05		0.0001062
254672		0.371475		0.372652		0.370255		3.124e-07		1.38249e-07		7.25987e-07
254673		0.370634		0.371812		0.369291		2.60949e-06		1.24488e-06		5.59247e-06
254674		0.365506		0.366795		0.36418		4.27467e-08		1.53309e-08		1.23526e-07
254675		0.334409		0.334701		0.334121		0.291951		0.289701		0.294221
254677		0.330384		0.330395		0.330373		0.318858		0.318123		0.319594
254735		0.362471		0.363682		0.361147		5.96964e-06		2.73482e-06		1.32079e-05
254754		0.354546		0.355502		0.35356		0.00886582		0.00670177		0.0117602
254761		0.354908		0.355873		0.353902		0.000699293		0.000435662		0.00112505
254877		0.357761		0.358971		0.356462		0.000397486		0.000225203		0.000703956
254910		0.367021		0.368309		0.365689		8.93608e-05		4.96963e-05		0.000161887
254942		0.375996		0.377205		0.374494		0.00199152		0.001529		0.00263861
254943		0.355655		0.356723		0.354525		0.000741077		0.000456505		0.00120502
254944		0.357282		0.358398		0.356114		4.36367e-05		2.17595e-05		8.80775e-05
254946		0.330503		0.330525		0.330481		0.327696		0.3275		0.327892
254984		0.330311		0.330275		0.330304		0.325583		0.325173		0.325952
254997		0.331394		0.331477		0.331312		0.320438		0.319836		0.321042
255000		0.33028		0.330282		0.330277		0.32754		0.32737		0.327711
