Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254601		0.766833		0.766292		0.767383		0.394039		0.370666		0.418127		0.318636
254602		0.559574		0.562975		0.556162		0.5		0.5		0.5		0.880852
254603		0.56728		0.572328		0.56189		0.5		0.5		0.5		0.865440
254604		0.675968		0.686279		0.665445		0.5		0.5		0.5		0.648063
254605		0.618492		0.626212		0.610158		0.5		0.5		0.5		0.763016
254606		0.666942		0.677137		0.656532		0.5		0.5		0.5		0.666116
254608		0.625563		0.635696		0.615266		0.5		0.5		0.5		0.748875
254609		0.650557		0.660372		0.640493		0.5		0.5		0.5		0.698886
254611		0.666473		0.677099		0.655634		0.5		0.5		0.5		0.667055
254612		0.638885		0.645702		0.63166		0.5		0.5		0.5		0.722229
254613		0.591439		0.597892		0.584937		0.5		0.5		0.5		0.817122
254614		0.610607		0.617829		0.603316		0.5		0.5		0.5		0.778786
254615		0.588604		0.594248		0.582922		0.5		0.5		0.5		0.822793
254617		0.578817		0.584744		0.57285		0.5		0.5		0.5		0.842367
254618		0.753141		0.752764		0.753526		0.435724		0.416736		0.455141		0.397426
254620		0.754183		0.753785		0.754896		0.451303		0.431108		0.472317		0.417893
254621		0.609453		0.617161		0.601668		0.5		0.5		0.5		0.781094
254622		0.749478		0.759425		0.735924		0.5		0.496126		0.5		0.501044
254623		0.580013		0.584212		0.575736		0.5		0.5		0.5		0.839974
254625		0.747594		0.746964		0.748232		0.309864		0.287107		0.333899		0.244759
254627		0.622599		0.630568		0.614537		0.5		0.5		0.5		0.754802
254628		0.747518		0.747016		0.748027		0.318897		0.296674		0.342271		0.255335
254629		0.716866		0.729262		0.704075		0.5		0.5		0.5		0.566269
254630		0.752639		0.752498		0.750195		0.486711		0.470393		0.5		0.473909
254631		0.583237		0.588723		0.577556		0.5		0.5		0.5		0.833526
254632		0.54491		0.547649		0.542165		0.5		0.5		0.5		0.910180
254633		0.748327		0.747822		0.748841		0.289133		0.265117		0.314692		0.220517
254634		0.594125		0.601106		0.587083		0.5		0.5		0.5		0.811751
254635		0.554473		0.557707		0.55123		0.5		0.5		0.5		0.891054
254637		0.623459		0.630783		0.616059		0.5		0.5		0.5		0.753082
254638		0.750274		0.749723		0.751164		0.34628		0.324085		0.369935		0.284289
254639		0.746635		0.759584		0.733204		0.5		0.5		0.5		0.506729
254641		0.544661		0.547956		0.541357		0.5		0.5		0.5		0.910678
254643		0.702289		0.714545		0.68968		0.5		0.5		0.5		0.595421
254645		0.734467		0.732505		0.736697		0.382104		0.362363		0.403152		0.354270
254646		0.566944		0.570974		0.562849		0.5		0.5		0.5		0.866112
254647		0.748028		0.747341		0.748693		0.300467		0.277976		0.324261		0.233515
254649		0.639246		0.648581		0.629741		0.5		0.5		0.5		0.721508
254650		0.756916		0.75643		0.757411		0.423956		0.400106		0.448484		0.374432
254652		0.765422		0.765174		0.754821		0.497219		0.480671		0.5		0.464886
254653		0.595935		0.602353		0.589466		0.5		0.5		0.5		0.808131
254654		0.69038		0.700918		0.679413		0.5		0.5		0.5		0.619239
254655		0.710414		0.72212		0.69837		0.5		0.5		0.5		0.579172
254656		0.762275		0.762017		0.761066		0.483681		0.465712		0.5		0.450516
254657		0.740657		0.739011		0.742372		0.400662		0.382		0.420163		0.369717
254658		0.669795		0.680635		0.658697		0.5		0.5		0.5		0.660411
254659		0.515309		0.516449		0.514167		0.5		0.5		0.5		0.969383
254663		0.526206		0.528282		0.524127		0.5		0.5		0.5		0.947587
254665		0.742845		0.755477		0.729747		0.5		0.5		0.5		0.514309
254666		0.684566		0.694062		0.674882		0.5		0.5		0.5		0.630868
254667		0.753301		0.759974		0.739124		0.5		0.49104		0.5		0.493397
254669		0.661368		0.6691		0.653151		0.5		0.5		0.5		0.677265
254671		0.645755		0.653831		0.637571		0.5		0.5		0.5		0.708489
254672		0.609718		0.615211		0.603965		0.5		0.5		0.5		0.780563
254673		0.75885		0.758193		0.759069		0.470514		0.450869		0.48991		0.437404
254674		0.590247		0.596616		0.583829		0.5		0.5		0.5		0.819506
254676		0.508705		0.509377		0.508032		0.5		0.5		0.5		0.982591
254677		0.502505		0.502662		0.502348		0.5		0.5		0.5		0.994990
254681		0.518274		0.519575		0.516971		0.5		0.5		0.5		0.963452
254682		0.522714		0.524195		0.521231		0.5		0.5		0.5		0.954572
254683		0.554221		0.557653		0.550777		0.5		0.5		0.5		0.891559
254684		0.573517		0.57838		0.568626		0.5		0.5		0.5		0.852966
254685		0.521106		0.522563		0.519648		0.5		0.5		0.5		0.957788
254686		0.52471		0.526243		0.523175		0.5		0.5		0.5		0.950580
254687		0.500639		0.500681		0.500598		0.5		0.5		0.5		0.998721
254688		0.515052		0.515995		0.514109		0.5		0.5		0.5		0.969895
254690		0.544116		0.546869		0.541356		0.5		0.5		0.5		0.911768
254693		0.533382		0.535552		0.531209		0.5		0.5		0.5		0.933236
254694		0.506354		0.506741		0.505965		0.5		0.5		0.5		0.987292
254695		0.509657		0.510346		0.508967		0.5		0.5		0.5		0.980686
254697		0.527703		0.529402		0.526001		0.5		0.5		0.5		0.944595
254698		0.520496		0.521878		0.519113		0.5		0.5		0.5		0.959007
254699		0.512569		0.5134		0.511738		0.5		0.5		0.5		0.974861
254700		0.507341		0.507905		0.506776		0.5		0.5		0.5		0.985318
254702		0.555023		0.558237		0.5518		0.5		0.5		0.5		0.889953
254703		0.52931		0.531149		0.527469		0.5		0.5		0.5		0.941380
254704		0.534312		0.536819		0.5318		0.5		0.5		0.5		0.931375
254705		0.517021		0.518093		0.515948		0.5		0.5		0.5		0.965959
254706		0.52314		0.524545		0.521733		0.5		0.5		0.5		0.953720
254707		0.524291		0.525893		0.522688		0.5		0.5		0.5		0.951417
254708		0.558423		0.562612		0.554218		0.5		0.5		0.5		0.883154
254709		0.520009		0.52134		0.518677		0.5		0.5		0.5		0.959982
254712		0.558172		0.56208		0.554251		0.5		0.5		0.5		0.883655
254714		0.522921		0.524428		0.521412		0.5		0.5		0.5		0.954158
254715		0.531457		0.5338		0.529111		0.5		0.5		0.5		0.937085
254717		0.504794		0.5051		0.504484		0.5		0.5		0.5		0.990412
254719		0.533699		0.536089		0.531306		0.5		0.5		0.5		0.932601
254720		0.531456		0.533505		0.529404		0.5		0.5		0.5		0.937088
254721		0.520052		0.521368		0.518735		0.5		0.5		0.5		0.959895
254722		0.530107		0.532156		0.528056		0.5		0.5		0.5		0.939785
254723		0.515267		0.516275		0.514258		0.5		0.5		0.5		0.969466
254724		0.516911		0.518068		0.515754		0.5		0.5		0.5		0.966177
254725		0.539096		0.541518		0.536671		0.5		0.5		0.5		0.921807
254726		0.507389		0.507833		0.506945		0.5		0.5		0.5		0.985222
254727		0.518826		0.520099		0.517552		0.5		0.5		0.5		0.962348
254729		0.528111		0.529902		0.526316		0.5		0.5		0.5		0.943779
254733		0.52399		0.525507		0.522472		0.5		0.5		0.5		0.952019
254734		0.521162		0.522523		0.519799		0.5		0.5		0.5		0.957677
254736		0.505925		0.50627		0.505581		0.5		0.5		0.5		0.988149
254738		0.504824		0.505148		0.504499		0.5		0.5		0.5		0.990353
254739		0.506637		0.507023		0.506253		0.5		0.5		0.5		0.986725
254740		0.509434		0.510148		0.508719		0.5		0.5		0.5		0.981132
254742		0.510827		0.511595		0.510058		0.5		0.5		0.5		0.978346
254743		0.521616		0.522906		0.520324		0.5		0.5		0.5		0.956768
254748		0.529794		0.532015		0.527569		0.5		0.5		0.5		0.940413
254752		0.514579		0.515535		0.513621		0.5		0.5		0.5		0.970843
254754		0.738878		0.752001		0.725256		0.5		0.5		0.5		0.522245
254755		0.521488		0.522781		0.520194		0.5		0.5		0.5		0.957023
254756		0.543263		0.546176		0.540342		0.5		0.5		0.5		0.913475
254758		0.510659		0.511396		0.509919		0.5		0.5		0.5		0.978683
254759		0.50211		0.502233		0.501988		0.5		0.5		0.5		0.995779
254760		0.529912		0.532041		0.52778		0.5		0.5		0.5		0.940176
254761		0.763059		0.762818		0.757131		0.489819		0.47193		0.5		0.458269
254762		0.529089		0.531075		0.527099		0.5		0.5		0.5		0.941823
254763		0.531246		0.533171		0.529317		0.5		0.5		0.5		0.937509
254765		0.511541		0.51231		0.510772		0.5		0.5		0.5		0.976918
254766		0.514112		0.515056		0.513166		0.5		0.5		0.5		0.971777
254768		0.514101		0.514952		0.51325		0.5		0.5		0.5		0.971797
254769		0.504866		0.505198		0.504542		0.5		0.5		0.5		0.990267
254771		0.516252		0.517323		0.51518		0.5		0.5		0.5		0.967497
254772		0.539887		0.542654		0.537115		0.5		0.5		0.5		0.920225
254773		0.528131		0.530065		0.526193		0.5		0.5		0.5		0.943739
254774		0.542793		0.545453		0.540127		0.5		0.5		0.5		0.914414
254775		0.53196		0.534379		0.529536		0.5		0.5		0.5		0.936080
254776		0.516697		0.517636		0.515757		0.5		0.5		0.5		0.966606
254778		0.539861		0.542314		0.537403		0.5		0.5		0.5		0.920278
254779		0.510792		0.511459		0.510125		0.5		0.5		0.5		0.978416
254780		0.522212		0.523718		0.520704		0.5		0.5		0.5		0.955576
254781		0.514948		0.515849		0.514047		0.5		0.5		0.5		0.970103
254782		0.556862		0.56038		0.553333		0.5		0.5		0.5		0.886276
254783		0.523309		0.524872		0.521745		0.5		0.5		0.5		0.953381
254785		0.531459		0.533361		0.529554		0.5		0.5		0.5		0.937082
254786		0.535838		0.538069		0.533603		0.5		0.5		0.5		0.928323
254787		0.53124		0.53326		0.529217		0.5		0.5		0.5		0.937520
254788		0.507808		0.508397		0.507219		0.5		0.5		0.5		0.984384
254789		0.504886		0.505199		0.504572		0.5		0.5		0.5		0.990229
254791		0.524897		0.526342		0.523451		0.5		0.5		0.5		0.950205
254792		0.520207		0.521587		0.518827		0.5		0.5		0.5		0.959585
254793		0.505784		0.506148		0.505421		0.5		0.5		0.5		0.988431
254794		0.512212		0.513063		0.511362		0.5		0.5		0.5		0.975575
254796		0.515322		0.516495		0.514148		0.5		0.5		0.5		0.969356
254798		0.511189		0.512005		0.510373		0.5		0.5		0.5		0.977622
254800		0.520298		0.521717		0.518878		0.5		0.5		0.5		0.959404
254802		0.539735		0.542654		0.536808		0.5		0.5		0.5		0.920531
254803		0.509886		0.510486		0.509286		0.5		0.5		0.5		0.980227
254804		0.521612		0.522987		0.520235		0.5		0.5		0.5		0.956777
254805		0.513035		0.513854		0.512215		0.5		0.5		0.5		0.973930
254806		0.529717		0.531523		0.527908		0.5		0.5		0.5		0.940566
254808		0.525947		0.527584		0.524308		0.5		0.5		0.5		0.948106
254809		0.519171		0.520337		0.518004		0.5		0.5		0.5		0.961658
254810		0.530592		0.532439		0.528748		0.5		0.5		0.5		0.938816
254811		0.534331		0.536407		0.532251		0.5		0.5		0.5		0.931338
254820		0.592674		0.59969		0.585598		0.5		0.5		0.5		0.814652
254942		0.705815		0.716518		0.694821		0.5		0.5		0.5		0.588370
254943		0.687339		0.696536		0.677966		0.5		0.5		0.5		0.625323
254944		0.621281		0.629406		0.61245		0.5		0.5		0.5		0.757437
254946		0.510169		0.510937		0.509402		0.5		0.5		0.5		0.979661
254948		0.514271		0.515243		0.513297		0.5		0.5		0.5		0.971459
254949		0.505123		0.505494		0.504752		0.5		0.5		0.5		0.989755
254980		0.591399		0.597273		0.585485		0.5		0.5		0.5		0.817201
254981		0.502105		0.502274		0.501936		0.5		0.5		0.5		0.995791
254984		0.518848		0.520057		0.517639		0.5		0.5		0.5		0.962304
254997		0.509661		0.510333		0.50899		0.5		0.5		0.5		0.980677
254998		0.524376		0.526004		0.522745		0.5		0.5		0.5		0.951249
255000		0.523338		0.52485		0.521825		0.5		0.5		0.5		0.953323
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 		CL_exp\\ 
254813		0.510628		0.511511		0.509744		0.5		0.5		0.5		0.978744
254814		0.523994		0.525511		0.522476		0.5		0.5		0.5		0.952011
254815		0.505273		0.505667		0.504878		0.5		0.5		0.5		0.989454
254817		0.521661		0.522989		0.520332		0.5		0.5		0.5		0.956677
254818		0.517009		0.518236		0.515782		0.5		0.5		0.5		0.965981
254819		0.552931		0.555866		0.549988		0.5		0.5		0.5		0.894139
254821		0.515818		0.516723		0.514912		0.5		0.5		0.5		0.968365
254822		0.508847		0.509384		0.50831		0.5		0.5		0.5		0.982306
254824		0.520893		0.522352		0.519433		0.5		0.5		0.5		0.958214
254825		0.506565		0.506975		0.506155		0.5		0.5		0.5		0.986869
254827		0.511069		0.511812		0.510327		0.5		0.5		0.5		0.977861
254828		0.524611		0.526182		0.523037		0.5		0.5		0.5		0.950779
254829		0.52888		0.530864		0.526894		0.5		0.5		0.5		0.942239
254830		0.518611		0.519789		0.517433		0.5		0.5		0.5		0.962777
254831		0.511956		0.512866		0.511045		0.5		0.5		0.5		0.976088
254832		0.552148		0.555111		0.549172		0.5		0.5		0.5		0.895704
254833		0.551584		0.554973		0.548183		0.5		0.5		0.5		0.896833
254834		0.526583		0.528483		0.524679		0.5		0.5		0.5		0.946834
254835		0.525839		0.5275		0.524176		0.5		0.5		0.5		0.948322
254836		0.528531		0.53046		0.5266		0.5		0.5		0.5		0.942938
254837		0.513401		0.514328		0.512475		0.5		0.5		0.5		0.973199
254838		0.526194		0.527736		0.524651		0.5		0.5		0.5		0.947611
254842		0.523494		0.5251		0.521886		0.5		0.5		0.5		0.953012
254843		0.521104		0.522471		0.519735		0.5		0.5		0.5		0.957793
254844		0.521084		0.522575		0.519591		0.5		0.5		0.5		0.957832
254845		0.542642		0.545265		0.540013		0.5		0.5		0.5		0.914716
254846		0.544128		0.546927		0.541322		0.5		0.5		0.5		0.911744
254847		0.535803		0.538077		0.533525		0.5		0.5		0.5		0.928394
254848		0.500138		0.500146		0.500129		0.5		0.5		0.5		0.999724
254849		0.508273		0.508897		0.507648		0.5		0.5		0.5		0.983455
254850		0.521077		0.522409		0.519744		0.5		0.5		0.5		0.957846
254851		0.527395		0.529139		0.525647		0.5		0.5		0.5		0.945211
254855		0.513366		0.514208		0.512522		0.5		0.5		0.5		0.973269
254856		0.521472		0.523005		0.519937		0.5		0.5		0.5		0.957056
254857		0.517095		0.518261		0.515929		0.5		0.5		0.5		0.965809
254858		0.525271		0.526893		0.523647		0.5		0.5		0.5		0.949458
254859		0.522387		0.523788		0.520985		0.5		0.5		0.5		0.955225
254861		0.523233		0.524827		0.521638		0.5		0.5		0.5		0.953534
254862		0.513889		0.51495		0.512828		0.5		0.5		0.5		0.972221
254863		0.534263		0.536626		0.531896		0.5		0.5		0.5		0.931474
254864		0.518577		0.51979		0.517363		0.5		0.5		0.5		0.962846
254865		0.523001		0.524426		0.521574		0.5		0.5		0.5		0.953999
254866		0.564603		0.568613		0.560579		0.5		0.5		0.5		0.870793
254867		0.513052		0.513851		0.512253		0.5		0.5		0.5		0.973896
254869		0.506667		0.507074		0.506261		0.5		0.5		0.5		0.986665
254870		0.535619		0.537799		0.533434		0.5		0.5		0.5		0.928763
254871		0.516554		0.51762		0.515487		0.5		0.5		0.5		0.966892
254873		0.565315		0.569316		0.561299		0.5		0.5		0.5		0.869369
254875		0.510667		0.511448		0.509886		0.5		0.5		0.5		0.978665
254876		0.518732		0.520044		0.51742		0.5		0.5		0.5		0.962536
254879		0.530432		0.532531		0.52833		0.5		0.5		0.5		0.939135
254881		0.52783		0.529568		0.526091		0.5		0.5		0.5		0.944339
254882		0.510385		0.511176		0.509593		0.5		0.5		0.5		0.979230
254883		0.525623		0.52747		0.523773		0.5		0.5		0.5		0.948755
254885		0.526153		0.527745		0.524559		0.5		0.5		0.5		0.947694
254886		0.508073		0.50859		0.507555		0.5		0.5		0.5		0.983854
254888		0.519293		0.520632		0.517952		0.5		0.5		0.5		0.961414
254889		0.516166		0.51722		0.515112		0.5		0.5		0.5		0.967667
254890		0.53668		0.539056		0.5343		0.5		0.5		0.5		0.926640
254891		0.506362		0.506854		0.50587		0.5		0.5		0.5		0.987276
254893		0.509082		0.509767		0.508396		0.5		0.5		0.5		0.981837
254894		0.507164		0.507564		0.506764		0.5		0.5		0.5		0.985672
254895		0.511956		0.512681		0.511231		0.5		0.5		0.5		0.976088
254897		0.528161		0.529943		0.526376		0.5		0.5		0.5		0.943679
254898		0.519189		0.520381		0.517996		0.5		0.5		0.5		0.961623
254899		0.516994		0.518004		0.515983		0.5		0.5		0.5		0.966012
254900		0.534023		0.536137		0.531905		0.5		0.5		0.5		0.931954
254901		0.541005		0.543954		0.538048		0.5		0.5		0.5		0.917991
254902		0.526725		0.528609		0.524837		0.5		0.5		0.5		0.946551
254903		0.506245		0.506727		0.505763		0.5		0.5		0.5		0.987510
254905		0.53506		0.537445		0.53267		0.5		0.5		0.5		0.929881
254906		0.517052		0.518125		0.515978		0.5		0.5		0.5		0.965896
254907		0.535776		0.538206		0.533342		0.5		0.5		0.5		0.928447
254908		0.534609		0.536834		0.53238		0.5		0.5		0.5		0.930783
254909		0.511556		0.512352		0.51076		0.5		0.5		0.5		0.976888
254911		0.506011		0.506463		0.505556		0.5		0.5		0.5		0.987978
254912		0.521173		0.522464		0.519881		0.5		0.5		0.5		0.957654
254913		0.514127		0.514991		0.51326		0.5		0.5		0.5		0.971747
254914		0.512387		0.513165		0.511607		0.5		0.5		0.5		0.975227
254915		0.506395		0.506808		0.505981		0.5		0.5		0.5		0.987210
254916		0.533305		0.535484		0.531122		0.5		0.5		0.5		0.933391
254917		0.529165		0.53103		0.527297		0.5		0.5		0.5		0.941670
254918		0.53265		0.534672		0.530624		0.5		0.5		0.5		0.934700
254919		0.532012		0.534254		0.529765		0.5		0.5		0.5		0.935977
254920		0.537366		0.53962		0.535107		0.5		0.5		0.5		0.925269
254921		0.511295		0.51206		0.510529		0.5		0.5		0.5		0.977410
254922		0.563232		0.56696		0.559492		0.5		0.5		0.5		0.873535
254923		0.528882		0.530789		0.526972		0.5		0.5		0.5		0.942236
254925		0.517048		0.518044		0.51605		0.5		0.5		0.5		0.965905
254926		0.507157		0.507573		0.50674		0.5		0.5		0.5		0.985686
