Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254603		0.903754		0.900799		0.906747		1.2532e-11		1.00677e-12		1.53676e-10
254605		0.90489		0.901637		0.908126		2.78436e-10		2.56471e-11		2.92758e-09
254608		0.931132		0.928747		0.933669		9.52437e-10		9.82652e-11		9.03306e-09
254609		0.371933		0.375507		0.368058		9.73982e-06		4.12049e-06		2.25768e-05
254610		0.108254		0.1096		0.106549		0.000220776		0.000146326		0.000332713
254612		0.909521		0.907211		0.911892		4.24275e-14		2.04139e-15		8.80877e-13
254615		0.49079		0.496269		0.484974		7.9966e-05		3.46545e-05		0.000179431
254618		0.315519		0.315518		0.314651		0.000142139		6.7807e-05		0.000291445
254619		0.508066		0.514191		0.50127		0.0125064		0.00915292		0.0168674
254620		0.185851		0.188138		0.183155		6.5675e-05		3.53763e-05		0.000120765
254622		0.253648		0.25631		0.250582		4.03943e-05		2.06038e-05		7.80868e-05
254623		0.956312		0.954643		0.958019		8.82765e-12		6.57693e-13		1.17031e-10
254625		0.931174		0.929502		0.932925		5.62775e-06		1.29143e-06		2.35208e-05
254626		0.172889		0.173028		0.172961		0.000510225		0.000344588		0.000758234
254628		0.554782		0.559407		0.549646		0.000614402		0.000324559		0.00113451
254631		0.444775		0.446185		0.442428		0.00285449		0.00184146		0.00436173
254633		0.226276		0.227245		0.225163		0.00173538		0.00117848		0.00253609
254636		0.312439		0.311601		0.313368		0.00198531		0.00137768		0.00286186
254637		0.984402		0.98381		0.984953		0.00251544		0.00102692		0.00588698
254638		0.354853		0.355352		0.354257		7.0788e-07		2.14111e-07		2.2859e-06
254640		0.235291		0.239807		0.231409		4.29211e-06		1.89138e-06		9.62997e-06
254641		0.42196		0.427406		0.416616		0.0230503		0.0188243		0.0281793
254643		0.987735		0.987075		0.988391		0.00514881		0.00229549		0.0111361
254646		0.897583		0.89421		0.900925		1.46396e-10		1.52752e-11		1.39804e-09
254647		0.24484		0.247271		0.24244		4.21587e-05		2.03422e-05		8.64458e-05
254648		0.244338		0.246193		0.242197		0.00112665		0.000794587		0.00159588
254650		0.944298		0.941609		0.947077		2.22709e-09		2.33311e-10		2.06697e-08
254651		0.339023		0.343767		0.334626		7.26821e-06		3.34898e-06		1.57165e-05
254652		0.528806		0.52764		0.530754		0.0018744		0.00102733		0.00334612
254656		0.263056		0.266077		0.259949		0.00166893		0.00112514		0.00245132
254660		0.952694		0.950518		0.954846		6.40078e-06		1.3876e-06		2.8487e-05
254661		0.943245		0.941272		0.945264		4.03379e-15		1.58801e-16		1.02608e-13
254662		0.937501		0.935187		0.939895		3.29146e-12		2.0633e-13		5.19396e-11
254663		0.936717		0.934718		0.938831		4.01621e-16		9.21325e-18		1.72615e-14
254664		0.911519		0.909478		0.913747		1.43646e-19		2.95114e-21		7.20402e-18
254665		0.920758		0.917692		0.924021		2.81464e-25		1.72367e-27		4.96032e-23
254666		0.910894		0.907634		0.914252		2.50858e-16		6.83965e-18		9.15107e-15
254667		0.954899		0.953687		0.95615		1.99819e-11		1.89218e-12		2.09724e-10
254668		0.961488		0.959853		0.963128		3.32257e-10		2.94929e-11		3.65502e-09
254669		0.906238		0.905142		0.907311		4.21894e-10		4.98083e-11		3.54466e-09
254670		0.916402		0.91325		0.919691		2.59642e-17		6.64212e-19		1.03793e-15
254671		0.912414		0.908942		0.915908		2.66039e-15		9.36632e-17		7.45323e-14
254672		0.924959		0.922613		0.927483		1.76806e-21		3.10662e-23		1.08936e-19
254673		0.944141		0.942856		0.94539		1.96692e-12		1.75678e-13		2.2346e-11
254674		0.915031		0.914137		0.91595		1.35912e-12		1.0249e-13		1.80463e-11
254735		0.936529		0.932914		0.940193		7.06367e-13		2.85492e-14		1.68936e-11
254754		0.881219		0.879654		0.883295		3.95523e-07		7.27968e-08		2.08507e-06
254761		0.947847		0.946067		0.949637		7.06389e-10		5.69279e-11		8.34215e-09
254801		0.961783		0.959503		0.964072		7.62117e-10		5.99227e-11		9.25902e-09
254807		0.966403		0.965464		0.967364		1.86549e-08		2.60839e-09		1.30968e-07
254820		0.961674		0.959344		0.963784		3.27278e-08		3.80911e-09		2.68815e-07
254877		0.982826		0.981782		0.983875		7.61723e-06		1.38107e-06		3.96501e-05
254910		0.969557		0.967667		0.971325		5.35255e-05		1.36375e-05		0.000198138
254942		0.955523		0.953293		0.957803		1.1496e-10		1.38777e-11		9.94145e-10
254943		0.95255		0.950066		0.955093		9.27769e-12		5.20162e-13		1.61849e-10
254944		0.968934		0.966638		0.971228		1.54754e-12		6.31111e-14		3.63858e-11
254945		0.914356		0.911301		0.917436		2.47087e-22		2.43879e-24		2.63266e-20
254979		0.566571		0.572129		0.560066		4.48784e-06		1.50009e-06		1.30485e-05
254980		0.375853		0.379502		0.372257		0.00532192		0.00400737		0.0070689
