# SRname Ndata Nbkg NbkgErr Limit(approx)

# 2L search
SR_mT2a  54  61.5  6.3  10.
SR_mT2b  10  12.5  2.4   6.
SR_mT2c   5   4.2  0.86  5.
SR_WWa  143 160.1 10.8  18.
SR_WWb   43  48.3  4.36 10. 
SR_WWc   21  29.3  4.13  8.
SR_Zjets  1   1.4  0.6   4.

# 3L search
SR0a_1   36  23    4    27
SR0a_2    5   4.2  1.5   6.9
SR0a_3    9  10.6  1.8   7.3
SR0a_4    9   8.5  1.7   8.4
SR0a_5   11  12.9  2.3   7.9
SR0a_6   13   6.6  1.9  14.4
SR0a_7   15  14.1  2.2  10.8
SR0a_8    1   1.1  0.4   3.7
SR0a_9   28  22.4  3.6  18
SR0a_10  24  16.4  2.8  18.3
SR0a_11  29  27    5    15.3
SR0a_12   8   5.5  1.5   9.2
SR0a_13 714 715   70   133
SR0a_14 214 219   33    65
SR0a_15  63  65   13    27.6
SR0a_16   3   4.6  1.5   5.2
SR0a_17  60  69    8    18.8
SR0a_18   1   3.4  1.4   3.7
SR0a_19   0   1.2  0.4   3
SR0a_20   0   0.29 0.17  3
SR0b      3   3.8  1.2   5.4
SR1SS    13  10.3  1.2  10.9

# 4L search
SR0noZa 3 1.6 0.5 5.9
SR1noZa 4 4.6 1.2 5.7
SR2noZa 7 4.0 1.2 9.2

SR0noZb 1 1.4 0.4 3.7
SR1noZb 1 2.9 0.9 3.5
SR2noZb 6 3.0 1.0 8.7

SR0Z 7 5.6 1.4 8.1
SR1Z 3 2.5 0.6 5.3
SR2Z 1 1.8 0.5 3.5

# 2tau search
SR_C1N2         11  7.9 2.4 12.
SR_C1C1_lowMass 12 22   5   8.
SR_DS_highMT2    7  7.5 1.9 8.
SR_DS_lowMT2    15 11.5 2.9 12.
