Model: RslepRPC
# N2 mass; N1 mass; Nevents; Cross-section [pb]; Acceptance; Efficiency; Syst unc; CL obs; CL exp; filter eff
 110; 90; 79540; 0.6758; 0.003356; 0.3358; 17.97; 0.000719; 0.00012; 0.59539
 112.5; 12.5; 4701; 1.037; 0.0638; 0.507; 7.177; < 0000; < 0000; 0.99621
 112.5; 47.5; 23100; 1.031; 0.046; 0.493; 8.018; < 0000; < 0000; 0.99029
 117.5; 82.5; 13630; 0.8098; 0.01767; 0.3768; 10; < 0000; < 0000; 0.92805
 185; 165; 64540; 0.08845; 0.004243; 0.2327; 10.18; 0.5508; 0.3337; 0.6053
 192.5; 157.5; 9460; 0.1163; 0.0305; 0.3281; 10.34; 0.000003; < 0000; 0.93162
 207.5; 142.5; 14440; 0.09111; 0.08627; 0.4832; 7.134; < 0000; < 0000; 0.99226
 250; 0; 4907; 0.04212; 0.4474; 0.5466; 7.589; < 0000; < 0000; 0.9998
 260; 240; 65410; 0.02159; 0.004657; 0.2136; 11.3; 0.822; 0.7835; 0.60956
 267.5; 232.5; 9567; 0.02979; 0.036; 0.3347; 10.19; 0.02466; 0.005929; 0.94003
 282.5; 217.5; 9709; 0.02483; 0.0945; 0.45; 7.567; < 0000; < 0000; 0.99394
 350; 0; 4947; 0.009408; 0.6214; 0.5422; 7.258; < 0000; < 0000; 0.9998
 375; 125; 4941; 0.006853; 0.6018; 0.5047; 7.295; < 0000; < 0000;
 392.5; 357.5; 9630; 0.005115; 0.048; 0.2647; 9.699; 0.6446; 0.4487; 0.941
 407.5; 342.5; 9766; 0.004495; 0.1051; 0.4276; 7.083; 0.1562; 0.05651; 0.99493
 450; 300; 4924; 0.002707; 0.3676; 0.4941; 8.206; 0.002602; 0.000427; 0.9992
 455; 420; 4831; 0.002464; 0.0512; 0.3728; 11.42; 0.6963; 0.5638; 0.94536
 470; 405; 9787; 0.002189; 0.0973; 0.4692; 7.398; 0.4784; 0.2668; 0.99433
 500; 0; 4951; 0.001535; 0.751; 0.5417; 6.931; 0.000305; 0.000039;
 512.5; 362.5; 4939; 0.001342; 0.3834; 0.4925; 6.958; 0.07816; 0.02341; 0.9994
 532.5; 467.5; 9825; 0.001117; 0.1042; 0.4014; 7.543; 0.6965; 0.5642; 0.99325
 550; 200; 4956; 0.0009192; 0.726; 0.5118; 7.47; 0.02284; 0.005269;
 575; 425; 4932; 0.0007123; 0.382; 0.4884; 7.31; 0.3401; 0.1615; 0.9998
 612.5; 262.5; 4960; 0.0004804; 0.7376; 0.5195; 7.856; 0.1877; 0.07179;
 625; 0; 4978; 0.0004246; 0.7988; 0.5179; 7.496; 0.2074; 0.08194;
 625; 125; 4952; 0.0004246; 0.788; 0.5042; 7.491; 0.2258; 0.09181;
 675; 325; 4962; 0.0002689; 0.7536; 0.5128; 7.566; 0.4581; 0.2496;
 675; 575; 4918; 0.0002685; 0.1346; 0.4319; 8.581; 0.8581; 0.8347; 0.9986
 687.5; 62.5; 4964; 0.0002438; 0.8312; 0.4922; 7.783; 0.4768; 0.2652;
 687.5; 187.5; 4961; 0.0002438; 0.7928; 0.5008; 7.852; 0.491; 0.2773;
 700; 550; 4935; 0.0002172; 0.3824; 0.4825; 6.568; 0.7211; 0.6133;
 800; 450; 4966; 0.0000846; 0.7588; 0.5187; 7.704; 0.7512; 0.6687;
 812.5; 62.5; 4962; 0.000079; 0.8346; 0.4858; 8.05; 0.7575; 0.6799;
 812.5; 187.5; 4957; 0.000079; 0.826; 0.482; 7.84; 0.7602; 0.6845;
